sample_id,input_type,input
SAMEA4493343,srr,ERR1676595
SAMEA4493343,srr,ERR1676596
SAMEA4516831,srr,ERR1697189
SAMEA4516831,srr,ERR1697188
SAMN15959011,srr,SRR12564099
SAMN17132130,srr,SRR13283622
SAMN17132131,srr,SRR13283621
SAMN19764019,srr,SRR15058516
SAMN22819223,srr,SRR16676758
SAMN22819223,srr,SRR16676757
SAMN38466837,srr,SRR27018828
SAMN38466838,srr,SRR27018827
SAMN38466839,srr,SRR27018826
SAMN38466840,srr,SRR27018824
SAMN38466840,srr,SRR27018823
SAMN38466841,srr,SRR27018820
SAMN43901130,srr,SRR30781049
SAMN43901134,srr,SRR30781045
SAMN43901136,srr,SRR30781043
SAMN43901137,srr,SRR30781042
SAMN43901138,srr,SRR30781058
SAMN43901139,srr,SRR30781057
SAMN43901140,srr,SRR30781056
