sample_id,input_type,input
SAMD00008835,srr,DRR013237
SAMD00008835,srr,DRR013238
SAMD00008835,srr,DRR013255
SAMD00008835,srr,DRR013249
SAMN10973727,srr,SRR8616947
SAMN34234484,srr,SRR24215746
SAMN34234485,srr,SRR24215743
SAMN34234485,srr,SRR24215742
SAMN39641830,srr,SRR28974775
SAMN39641831,srr,SRR28974774
SAMN39641832,srr,SRR28974773
SAMN39641833,srr,SRR28974772
SAMN39641834,srr,SRR28974771
SAMN39641835,srr,SRR28974770
SAMN39641836,srr,SRR28974769
SAMN39641837,srr,SRR28974768
SAMN47327929,srr,SRR34996142
