sample_id,input_type,input
SAMEA112160742,srr,ERR10542465
SAMEA112775188,srr,ERR11012152
SAMEA5239890,srr,ERR3086452
SAMEA8492257,srr,ERR5643266
SAMN05285148,srr,SRR19144751
SAMN05285224,srr,SRR19144954
SAMN06909321,srr,SRR5520617
SAMN06909321,srr,SRR5520618
SAMN06909321,srr,SRR5521433
SAMN06909321,srr,SRR5521313
SAMN06909321,srr,SRR5520620
SAMN06909321,srr,SRR5521436
SAMN07344165,srr,SRR5991448
SAMN11022558,srr,SRR8766975
SAMN11022721,srr,SRR8766871
SAMN15575712,srr,SRR12358365
SAMN15575730,srr,SRR12358345
SAMN21500175,srr,SRR16036510
SAMN21500176,srr,SRR16036509
SAMN21500177,srr,SRR16036508
SAMN23487767,srr,SRR17165101
SAMN25524948,srr,SRR17839571
SAMN25524982,srr,SRR17839534
SAMN27647613,srr,SRR18923304
SAMN28099837,srr,SRR19392215
SAMN43821053,srr,SRR30719515
SAMN43821096,srr,SRR30719394
SAMN44414226,srr,SRR31326625
SAMN44414283,srr,SRR31326613
SAMN44773879,srr,SRR31366163
SAMN47932393,srr,SRR33141895
