sample_id,input_type,input
SAMN01000746,srr,SRR501895
SAMN01000747,srr,SRR501898
SAMN01000748,srr,SRR501858
SAMN03387928,srr,SRR1831819
SAMN03387928,srr,SRR2418286
SAMN03387929,srr,SRR1831859
SAMN03387929,srr,SRR2418287
SAMN03387930,srr,SRR1831860
SAMN03387930,srr,SRR2418288
SAMN03387931,srr,SRR1831861
SAMN03387931,srr,SRR2418289
SAMN03387932,srr,SRR1831862
SAMN03387932,srr,SRR2418290
SAMN03387933,srr,SRR1831863
SAMN03387933,srr,SRR2418402
SAMN07678102,srr,SRR11431894
SAMN21500164,srr,SRR16036489
SAMN21500165,srr,SRR16036488
SAMN21500166,srr,SRR16036487
SAMN21500167,srr,SRR16036486
SAMN21500168,srr,SRR16036485
SAMN21500169,srr,SRR16036516
SAMN37320017,srr,SRR26062202
SAMN37320017,srr,SRR26062201
