sample_id,input_type,input
SAMEA117749119,srr,ERR14654156
SAMN05907657,srr,SRR4444358
SAMN05907657,srr,SRR4444359
SAMN07678103,srr,SRR14572000
SAMN14122073,srr,SRR11097154
SAMN29795429,srr,SRR22298153
SAMN29795430,srr,SRR22298151
SAMN29795431,srr,SRR22298150
SAMN29795432,srr,SRR22298152
SAMN29795433,srr,SRR22298149
SAMN29795434,srr,SRR22298148
SAMN29795435,srr,SRR22298147
SAMN29795436,srr,SRR22298146
SAMN29795437,srr,SRR22298145
SAMN29795438,srr,SRR22298144
SAMN41100036,srr,SRR28820774
SAMN41100040,srr,SRR28820767
SAMN41100041,srr,SRR28820766
SAMN45989854,srr,SRR31835012
SAMN45989855,srr,SRR31835011
SAMN45989856,srr,SRR31835002
SAMN45989857,srr,SRR31835001
SAMN45989858,srr,SRR31835000
SAMN45989859,srr,SRR31834999
SAMN45989860,srr,SRR31834998
SAMN45989861,srr,SRR31834997
SAMN45989862,srr,SRR31834996
SAMN45989863,srr,SRR31834995
SAMN45989864,srr,SRR31835010
SAMN45989865,srr,SRR31835009
SAMN45989866,srr,SRR31835008
SAMN45989867,srr,SRR31835007
SAMN45989868,srr,SRR31835006
SAMN45989869,srr,SRR31835005
SAMN45989870,srr,SRR31835004
SAMN45989871,srr,SRR31835003
