sample_id,input_type,input
SAMEA5533081,srr,ERR4163388
SAMEA5533081,srr,ERR4163386
SAMEA5533082,srr,ERR4163389
SAMEA5533082,srr,ERR4163387
SAMEA5533084,srr,ERR4163390
SAMEA5533084,srr,ERR4163393
SAMEA5533084,srr,ERR4229797
SAMEA5533085,srr,ERR4163391
SAMEA5533085,srr,ERR4163394
SAMEA5533087,srr,ERR4163395
SAMEA5533087,srr,ERR4163392
SAMN07678060,srr,SRR11432011
SAMN14122076,srr,SRR11097144
SAMN36664722,srr,SRR25461320
SAMN36664723,srr,SRR25461319
SAMN36664724,srr,SRR25461307
SAMN36664725,srr,SRR25461297
SAMN36664727,srr,SRR25461274
SAMN36664728,srr,SRR25461264
SAMN36664729,srr,SRR25461253
SAMN36664731,srr,SRR25461247
SAMN36664732,srr,SRR25461318
SAMN36664733,srr,SRR25461317
SAMN36664734,srr,SRR25461315
SAMN36664735,srr,SRR25461314
SAMN36664736,srr,SRR25461313
SAMN36664737,srr,SRR25461316
SAMN36664738,srr,SRR25461312
SAMN36664739,srr,SRR25461311
SAMN36664740,srr,SRR25461310
SAMN36664741,srr,SRR25461309
SAMN36664743,srr,SRR25461305
SAMN36664744,srr,SRR25461308
SAMN36664745,srr,SRR25461304
SAMN36664747,srr,SRR25461302
SAMN36664748,srr,SRR25461301
SAMN36664750,srr,SRR25461299
SAMN36664752,srr,SRR25461296
SAMN36664753,srr,SRR25461295
SAMN36664754,srr,SRR25461294
SAMN36664755,srr,SRR25461293
SAMN36664756,srr,SRR25461292
SAMN36664758,srr,SRR25461290
SAMN36664759,srr,SRR25461289
SAMN36664760,srr,SRR25461288
SAMN36664762,srr,SRR25461285
SAMN36664763,srr,SRR25461284
SAMN36664764,srr,SRR25461283
SAMN36664766,srr,SRR25461281
SAMN36664767,srr,SRR25461280
SAMN36664768,srr,SRR25461279
SAMN36664769,srr,SRR25461278
SAMN36664770,srr,SRR25461277
SAMN36664771,srr,SRR25461276
SAMN36664772,srr,SRR25461273
SAMN36664773,srr,SRR25461272
SAMN36664774,srr,SRR25461275
SAMN36664776,srr,SRR25461270
SAMN36664777,srr,SRR25461269
SAMN36664778,srr,SRR25461268
SAMN36664779,srr,SRR25461267
SAMN36664780,srr,SRR25461266
SAMN36664781,srr,SRR25461265
SAMN36664782,srr,SRR25461263
SAMN36664783,srr,SRR25461262
SAMN36664784,srr,SRR25461261
SAMN36664785,srr,SRR25461260
SAMN36664786,srr,SRR25461259
SAMN36664787,srr,SRR25461258
SAMN36664788,srr,SRR25461257
SAMN36664789,srr,SRR25461256
SAMN36664791,srr,SRR25461254
SAMN36664792,srr,SRR25461252
SAMN36664793,srr,SRR25461251
SAMN36664794,srr,SRR25461250
SAMN36664795,srr,SRR25461249
