sample_id,input_type,input
SAMN12325353,srr,SRR25743144
SAMN12325353,srr,SRR15435901
SAMN20563460,srr,SRR15435925
SAMN20563461,srr,SRR15435913
SAMN20563462,srr,SRR15435899
SAMN20563463,srr,SRR15435902
SAMN20563464,srr,SRR15435897
SAMN20563465,srr,SRR15435898
SAMN20563466,srr,SRR15435895
SAMN20563467,srr,SRR15435921
SAMN20563468,srr,SRR15435922
SAMN20563469,srr,SRR15435918
SAMN20563470,srr,SRR15435920
SAMN20563471,srr,SRR15435917
SAMN20563472,srr,SRR15435914
SAMN20563473,srr,SRR15435910
SAMN20563474,srr,SRR15435907
SAMN20563475,srr,SRR15435916
SAMN20563476,srr,SRR15435912
SAMN20563477,srr,SRR15435909
SAMN20563478,srr,SRR15435906
