sample_id,input_type,input
SAMN19821493,srr,SRR14887793
SAMN19821494,srr,SRR14887792
SAMN36405434,srr,SRR28961220
SAMN41257752,srr,SRR28968984
SAMN41257753,srr,SRR28968983
SAMN41257754,srr,SRR28968972
SAMN41257755,srr,SRR28968970
SAMN41257756,srr,SRR28968969
SAMN41257757,srr,SRR28968968
SAMN41257758,srr,SRR28968967
SAMN41257759,srr,SRR28968966
SAMN41257760,srr,SRR28968965
SAMN41257761,srr,SRR28968964
SAMN41257762,srr,SRR28968982
SAMN41257763,srr,SRR28968981
SAMN41257764,srr,SRR28968980
SAMN41257765,srr,SRR28968979
SAMN41257766,srr,SRR28968978
SAMN41257767,srr,SRR28968977
SAMN41257768,srr,SRR28968976
SAMN41257769,srr,SRR28968975
SAMN41257770,srr,SRR28968974
SAMN41257771,srr,SRR28968973
SAMN41257772,srr,SRR28968971
