sample_id,input_type,input
SAMEA120519481,srr,ERR15843715
SAMEA120519481,srr,ERR15843717
SAMEA120519481,srr,ERR15843714
SAMEA120519481,srr,ERR15843716
SAMEA120519482,srr,ERR15843721
SAMEA120519482,srr,ERR15843719
SAMEA120519482,srr,ERR15843720
SAMEA120519482,srr,ERR15843718
SAMEA120519483,srr,ERR15843723
SAMEA120519483,srr,ERR15843725
SAMEA120519483,srr,ERR15843724
SAMEA120519483,srr,ERR15843722
SAMEA120519484,srr,ERR15843727
SAMEA120519484,srr,ERR15843729
SAMEA120519484,srr,ERR15843728
SAMEA120519484,srr,ERR15843726
SAMEA120519485,srr,ERR15843733
SAMEA120519485,srr,ERR15843731
SAMEA120519485,srr,ERR15843732
SAMEA120519485,srr,ERR15843730
SAMEA120519486,srr,ERR15843735
SAMEA120519486,srr,ERR15843737
SAMEA120519486,srr,ERR15843736
SAMEA120519486,srr,ERR15843734
SAMEA120519487,srr,ERR15843741
SAMEA120519487,srr,ERR15843739
SAMEA120519487,srr,ERR15843740
SAMEA120519487,srr,ERR15843738
SAMEA120519488,srr,ERR15843743
SAMEA120519488,srr,ERR15843742
SAMEA120519488,srr,ERR15843745
SAMEA120519488,srr,ERR15843744
SAMEA120519489,srr,ERR15843747
SAMEA120519489,srr,ERR15843749
SAMEA120519489,srr,ERR15843748
SAMEA120519489,srr,ERR15843746
SAMEA120519490,srr,ERR15843751
SAMEA120519490,srr,ERR15843753
SAMEA120519490,srr,ERR15843752
SAMEA120519490,srr,ERR15843750
SAMEA120519491,srr,ERR15843754
SAMEA120519491,srr,ERR15843757
SAMEA120519491,srr,ERR15843755
SAMEA120519491,srr,ERR15843756
SAMEA120519492,srr,ERR15843759
SAMEA120519492,srr,ERR15843758
SAMEA120519492,srr,ERR15843761
SAMN26430055,srr,SRR18219588
