sample_id,input_type,input
SAMN00000070,srr,SRR606323
SAMN00000070,srr,SRR606324
SAMN00000070,srr,SRR606321
SAMN00000070,srr,SRR606322
SAMN00000070,srr,SRR606320
SAMN02192671,srr,SRR940825
SAMN03968477,srr,SRR2148843
SAMN03968478,srr,SRR2148844
SAMN03968479,srr,SRR2148845
SAMN06114300,srr,SRR5125025
SAMN06114300,srr,SRR5125027
SAMN06114300,srr,SRR5125024
SAMN09426418,srr,SRR8282865
SAMN12326775,srr,SRR25750764
SAMN18839466,srr,SRR14668022
SAMN18839467,srr,SRR14668021
SAMN18839468,srr,SRR14668010
SAMN18839469,srr,SRR14667999
SAMN18839470,srr,SRR14667988
SAMN18839471,srr,SRR14667977
SAMN18839472,srr,SRR14667969
SAMN18839473,srr,SRR14667968
SAMN18839474,srr,SRR14667967
SAMN18839475,srr,SRR14667966
SAMN18839476,srr,SRR14668020
SAMN18839477,srr,SRR14668019
SAMN18839478,srr,SRR14668018
SAMN18839479,srr,SRR14668017
SAMN18839480,srr,SRR14668016
SAMN18839481,srr,SRR14668015
SAMN18839482,srr,SRR14668014
SAMN18839483,srr,SRR14668013
SAMN18839484,srr,SRR14668012
SAMN18839485,srr,SRR14668011
SAMN18839486,srr,SRR14668009
SAMN18839487,srr,SRR14668008
SAMN18839488,srr,SRR14668007
SAMN18839489,srr,SRR14668006
SAMN18839490,srr,SRR14668005
SAMN18839491,srr,SRR14668004
SAMN18839492,srr,SRR14668003
SAMN18839493,srr,SRR14668002
SAMN18839494,srr,SRR14668001
SAMN18839495,srr,SRR14668000
SAMN18839496,srr,SRR14667998
SAMN18839497,srr,SRR14667997
SAMN18839498,srr,SRR14667996
SAMN18839499,srr,SRR14667995
SAMN18839500,srr,SRR14667994
SAMN18839501,srr,SRR14667993
SAMN18839502,srr,SRR14667992
SAMN18839503,srr,SRR14667991
SAMN18839504,srr,SRR14667990
SAMN18839505,srr,SRR14667989
SAMN18839506,srr,SRR14667987
SAMN18839507,srr,SRR14667986
SAMN18839508,srr,SRR14667985
SAMN18839509,srr,SRR14667984
SAMN18839510,srr,SRR14667983
SAMN18839511,srr,SRR14667982
SAMN18839512,srr,SRR14667981
SAMN18839513,srr,SRR14667980
SAMN18839514,srr,SRR14667979
SAMN18839515,srr,SRR14667978
SAMN18839516,srr,SRR14667976
SAMN18839517,srr,SRR14667975
SAMN18839518,srr,SRR14667974
SAMN18839519,srr,SRR14667973
SAMN18839520,srr,SRR14667972
SAMN18839521,srr,SRR14667971
SAMN18839522,srr,SRR14667970
