sample_id,input_type,input
SAMN06553695,srr,SRR5328107
SAMN06553695,srr,SRR5328112
SAMN06553695,srr,SRR5328101
SAMN06553695,srr,SRR5328104
SAMN06553695,srr,SRR5328102
SAMN19522950,srr,SRR14750360
SAMN19522951,srr,SRR14750361
SAMN19522952,srr,SRR14750363
SAMN19522953,srr,SRR14750364
SAMN19522954,srr,SRR14750365
SAMN19522955,srr,SRR14750366
SAMN19522960,srr,SRR14750371
SAMN19522961,srr,SRR14750372
SAMN34035552,srr,SRR24041011
SAMN34035552,srr,SRR24067136
SAMN43533624,srr,SRR30752882
SAMN43533625,srr,SRR30752881
SAMN43533625,srr,SRR30752870
SAMN43533626,srr,SRR30752859
SAMN43533626,srr,SRR30752848
SAMN43533627,srr,SRR30752837
SAMN43533627,srr,SRR30752831
SAMN43533628,srr,SRR30752873
SAMN43533628,srr,SRR30752846
SAMN43533629,srr,SRR30752845
SAMN43533629,srr,SRR30752865
SAMN43533630,srr,SRR30752872
SAMN43533630,srr,SRR30752844
SAMN43533631,srr,SRR30752871
SAMN43533631,srr,SRR30752843
SAMN43533632,srr,SRR30752869
SAMN43533632,srr,SRR30752842
SAMN43533633,srr,SRR30752864
SAMN43533634,srr,SRR30752863
SAMN43533634,srr,SRR30752841
SAMN43533635,srr,SRR30752862
SAMN43533635,srr,SRR30752840
SAMN43533637,srr,SRR30752860
SAMN43533638,srr,SRR30752858
SAMN43533638,srr,SRR30752839
SAMN43533639,srr,SRR30752857
SAMN43533639,srr,SRR30752838
SAMN43533640,srr,SRR30752856
SAMN43533640,srr,SRR30752836
SAMN43533642,srr,SRR30752854
SAMN43533643,srr,SRR30752830
SAMN43533643,srr,SRR30752829
SAMN43533644,srr,SRR30752828
SAMN43533644,srr,SRR30752880
SAMN43533645,srr,SRR30752853
SAMN43533648,srr,SRR30752852
SAMN43533649,srr,SRR30752879
SAMN43533649,srr,SRR30752878
SAMN43533650,srr,SRR30752866
SAMN43533650,srr,SRR30752835
SAMN43533651,srr,SRR30752877
SAMN43533651,srr,SRR30752876
SAMN43533652,srr,SRR30752875
SAMN43533652,srr,SRR30752874
SAMN43533653,srr,SRR30752851
SAMN43533654,srr,SRR30752850
SAMN43533654,srr,SRR30752834
SAMN43533656,srr,SRR30752847
SAMN43533656,srr,SRR30752833
SAMN43533657,srr,SRR30752832
SAMN47229186,srr,SRR32581572
SAMN47229187,srr,SRR32581571
SAMN47229188,srr,SRR32581570
SAMN47229189,srr,SRR32581569
