sample_id,input_type,input
SAMN05601430,srr,SRR4046283
SAMN05601430,srr,SRR4046293
SAMN05601430,srr,SRR4046294
SAMN05601430,srr,SRR4046280
SAMN19217404,srr,SRR14552566
SAMN19217405,srr,SRR14552567
SAMN19217406,srr,SRR14552568
SAMN19217407,srr,SRR14552569
SAMN19217408,srr,SRR14552570
SAMN19217409,srr,SRR14552571
SAMN19217410,srr,SRR14552572
SAMN35723121,srr,SRR24906721
SAMN35723122,srr,SRR24906720
SAMN35723123,srr,SRR24906719
SAMN35723124,srr,SRR24906718
SAMN46889285,srr,SRR32393751
SAMN46889286,srr,SRR32393750
SAMN46889287,srr,SRR32393745
SAMN46889288,srr,SRR32393744
SAMN46889289,srr,SRR32393743
SAMN46889290,srr,SRR32393742
SAMN46889291,srr,SRR32393741
SAMN46889292,srr,SRR32393740
SAMN46889293,srr,SRR32393739
SAMN46889294,srr,SRR32393738
SAMN46889295,srr,SRR32393749
SAMN46889296,srr,SRR32393748
SAMN46889297,srr,SRR32393747
SAMN46889298,srr,SRR32393746
