sample_id,input_type,input
SAMN06014616,srr,SRR5019745
SAMN06014616,srr,SRR5019739
SAMN19072228,srr,SRR14583709
SAMN19090588,srr,SRR14583322
SAMN19090602,srr,SRR14583352
SAMN19090604,fastq,/n/netscratch/informatics/Lab/tsackton/shiCro/salvaged_fastqs/SAMN19090604/SRR14583350.paired_to_74016871_1.fastq.gz;/n/netscratch/informatics/Lab/tsackton/shiCro/salvaged_fastqs/SAMN19090604/SRR14583350.paired_to_74016871_2.fastq.gz
SAMN19090605,srr,SRR14583349
SAMN19090611,srr,SRR14583342
SAMN19090616,srr,SRR14583337
SAMN19090621,srr,SRR14583331
SAMN19090622,srr,SRR14583330
SAMN19090624,srr,SRR14583328
